id,word_1_en,word_2_en,word_3_en,word_1_ja,word_2_ja,word_3_ja,word_class,word_structure_A,word_structure_B,word_alt_en,word_alt_ja,word_IPA,img_URL,word_description,ENG_1,ENG_2,ENG_3,JPN_1,JPN_2,JPN_3,remind_frag,quiz_level
291,previous,recall previous events,Recalling previous events helps in learning.,以前の,過去の出来事を思い出す,過去の出来事を思い出すことは学ぶのに役立ちます。,形容詞,pre- (前) + vi- (見る) + -ous (形容詞化),「前に見る」→以前の,previously,以前,/ˈpriviəs/,public\images\previous.webp,現在や話題の事象の前に起きた。,public\audio\ENG\1\previous.mp3,public\audio\ENG\2\previous.mp3,public\audio\ENG\3\previous.mp3,public\audio\JPN\1\previous.mp3,public\audio\JPN\2\previous.mp3,public\audio\JPN\3\previous.mp3,FALSE,1
292,FALSE,prove false,The theory was proved false.,誤った,偽りを証明する,その理論は偽りであることが証明されました。,形容詞,fal- (誤る) + se- (動詞化),「誤る状態」→誤った,fallacy,誤謬,/fɔls/,public\images\FALSE.webp,真実ではない、正確でない。,public\audio\ENG\1\FALSE.mp3,public\audio\ENG\2\FALSE.mp3,public\audio\ENG\3\FALSE.mp3,public\audio\JPN\1\FALSE.mp3,public\audio\JPN\2\FALSE.mp3,public\audio\JPN\3\FALSE.mp3,FALSE,1
293,rare,encounter rare situations,Encountering rare situations can be exciting.,希少な,珍しい状況に遭遇する,珍しい状況に遭遇することは興奮することがあります。,形容詞,rar- (希少) + -e (形容詞化),「希少な状態」→希少な,rarity,希少性,/rɛr/,public\images\rare.webp,めったに起こらない、珍しい。,public\audio\ENG\1\rare.mp3,public\audio\ENG\2\rare.mp3,public\audio\ENG\3\rare.mp3,public\audio\JPN\1\rare.mp3,public\audio\JPN\2\rare.mp3,public\audio\JPN\3\rare.mp3,FALSE,1
294,legal,follow legal procedures,It's crucial to follow legal procedures.,法律の,法的手続きに従う,法的手続きに従うことは重要です。,形容詞,leg- (法) + -al (形容詞化),「法に関する」→法律の,legality,合法性,/ˈligəl/,public\images\legal.webp,法律に基づいた、または法律に関連する。,public\audio\ENG\1\legal.mp3,public\audio\ENG\2\legal.mp3,public\audio\ENG\3\legal.mp3,public\audio\JPN\1\legal.mp3,public\audio\JPN\2\legal.mp3,public\audio\JPN\3\legal.mp3,FALSE,1
295,independent,remain independent,Remaining independent in thought is valuable.,独立した,独立したままでいる,考え方で独立していることは貴重です。,形容詞,in- (否定) + depend- (依存する) + -ent (形容詞化),「依存しない」→独立した,independence,独立,/ˌɪndɪˈpɛndənt/,public\images\independent.webp,他のものに依存しない、自主的な。,public\audio\ENG\1\independent.mp3,public\audio\ENG\2\independent.mp3,public\audio\ENG\3\independent.mp3,public\audio\JPN\1\independent.mp3,public\audio\JPN\2\independent.mp3,public\audio\JPN\3\independent.mp3,FALSE,1
296,extreme,avoid extreme measures,We should avoid extreme measures if possible.,極端な,極端な手段を避ける,可能な限り極端な手段を避けるべきです。,形容詞,extrem- (端) + -e (形容詞化),「端の状態」→極端な,extremity,極端,/ɪkˈstrim/,public\images\extreme.webp,非常に大きな程度または非常に重大な。,public\audio\ENG\1\extreme.mp3,public\audio\ENG\2\extreme.mp3,public\audio\ENG\3\extreme.mp3,public\audio\JPN\1\extreme.mp3,public\audio\JPN\2\extreme.mp3,public\audio\JPN\3\extreme.mp3,FALSE,1
297,actual,know the actual facts,Knowing the actual facts is essential.,実際の,実際の事実を知る,実際の事実を知ることは重要です。,形容詞,act- (行動) + -ual (形容詞化),「行動に関する」→実際の,actuality,実際性,/ˈæktʃuəl/,public\images\actual.webp,実在する、事実に基づく。,public\audio\ENG\1\actual.mp3,public\audio\ENG\2\actual.mp3,public\audio\ENG\3\actual.mp3,public\audio\JPN\1\actual.mp3,public\audio\JPN\2\actual.mp3,public\audio\JPN\3\actual.mp3,FALSE,1
298,willing,be willing to help,I'm always willing to help out.,意欲的な,助ける意志がある,私はいつでも手伝いたいと思っています。,形容詞,will- (意志) + -ing (形容詞化),「意志を持つ」→意欲的な,willful,意志の強い,/ˈwɪlɪŋ/,public\images\willing.webp,進んで行う準備ができている。,public\audio\ENG\1\willing.mp3,public\audio\ENG\2\willing.mp3,public\audio\ENG\3\willing.mp3,public\audio\JPN\1\willing.mp3,public\audio\JPN\2\willing.mp3,public\audio\JPN\3\willing.mp3,FALSE,1
299,urban,live in an urban area,Living in an urban area has its challenges.,都市の,都市部に住む,都市部に住むことには課題があります。,形容詞,urb- (都市) + -an (形容詞化),「都市に関する」→都市の,suburb,郊外,/ˈɜrbən/,public\images\urban.webp,都市または町に関連する、またはそこで生じる。,public\audio\ENG\1\urban.mp3,public\audio\ENG\2\urban.mp3,public\audio\ENG\3\urban.mp3,public\audio\JPN\1\urban.mp3,public\audio\JPN\2\urban.mp3,public\audio\JPN\3\urban.mp3,FALSE,1
300,whereas,whereas on the other hand,"I like tea, whereas on the other hand she prefers coffee.",～だが一方で,一方では,私は紅茶が好きですが、一方で彼女はコーヒーの方が好きです。,接続詞,where- (どこ) + as- (として),「どこでとして」→～だが一方で,contrast,対比,/wɛərˈæz/,public\images\whereas.webp,二つの事実や状況を対比させる際に使用,public\audio\ENG\1\whereas.mp3,public\audio\ENG\2\whereas.mp3,public\audio\ENG\3\whereas.mp3,public\audio\JPN\1\whereas.mp3,public\audio\JPN\2\whereas.mp3,public\audio\JPN\3\whereas.mp3,FALSE,1
301,predict,predict the future,It's difficult to predict the future accurately.,予測する,未来を予測する,正確に未来を予測するのは難しいです。,動詞,pre- (前) + dict- (言う),「前に言う」→予測する,prediction,予測,/prɪˈdɪkt/,public\images\predict.webp,将来の出来事を事前に言い当てる。,public\audio\ENG\1\predict.mp3,public\audio\ENG\2\predict.mp3,public\audio\ENG\3\predict.mp3,public\audio\JPN\1\predict.mp3,public\audio\JPN\2\predict.mp3,public\audio\JPN\3\predict.mp3,FALSE,1
302,examine,examine the evidence,Scientists examine the evidence carefully.,調査する,証拠を検討する,科学者は証拠を注意深く検討します。,動詞,ex- (外に) + amine- (調査する),「外に調査する」→調査する,examination,検査,/ɪɡˈzæmɪn/,public\images\examine.webp,詳細に見ることによって評価または分析する。,public\audio\ENG\1\examine.mp3,public\audio\ENG\2\examine.mp3,public\audio\ENG\3\examine.mp3,public\audio\JPN\1\examine.mp3,public\audio\JPN\2\examine.mp3,public\audio\JPN\3\examine.mp3,FALSE,1
303,trust,trust a friend,You can always trust a true friend.,信頼する,友人を信頼する,本当の友人をいつも信頼できる。,動詞,trust (信頼する),「信頼する」→信頼する,trustworthy,信頼できる,/trʌst/,public\images\trust.webp,他者の正直さや能力を確信する。,public\audio\ENG\1\trust.mp3,public\audio\ENG\2\trust.mp3,public\audio\ENG\3\trust.mp3,public\audio\JPN\1\trust.mp3,public\audio\JPN\2\trust.mp3,public\audio\JPN\3\trust.mp3,FALSE,1
304,stick,stick to a plan,It's crucial to stick to the plan.,突き刺す、貼り付ける,計画に固執する,計画に固執することは重要だ。,動詞,stick (突き刺す、貼り付ける),「突き刺す」→突き刺す、貼り付ける,sticky,粘着性の,/stɪk/,public\images\stick.webp,物を接合させるか、一緒に留める行為。,public\audio\ENG\1\stick.mp3,public\audio\ENG\2\stick.mp3,public\audio\ENG\3\stick.mp3,public\audio\JPN\1\stick.mp3,public\audio\JPN\2\stick.mp3,public\audio\JPN\3\stick.mp3,FALSE,1
305,emerge,emerge victorious,The team emerged victorious after the match.,出現する,勝利を収める,試合後、チームは勝利を収めた。,動詞,e- (外に) + merge- (合流する),「外に合流する」→出現する,emergence,出現,/ɪˈmɜrdʒ/,public\images\emerge.webp,新たに現れるか、明らかになること。,public\audio\ENG\1\emerge.mp3,public\audio\ENG\2\emerge.mp3,public\audio\ENG\3\emerge.mp3,public\audio\JPN\1\emerge.mp3,public\audio\JPN\2\emerge.mp3,public\audio\JPN\3\emerge.mp3,FALSE,1
306,vary,vary the routine,Daily routines vary significantly among individuals.,変化する,ルーティンを変える,日常のルーティンは個人によって大きく異なる。,動詞,var- (変化) + -y (動詞化),「変化する」→変化する,variation,変動,/ˈvɛri/,public\images\vary.webp,異なる形や状態になる、またはさせること。,public\audio\ENG\1\vary.mp3,public\audio\ENG\2\vary.mp3,public\audio\ENG\3\vary.mp3,public\audio\JPN\1\vary.mp3,public\audio\JPN\2\vary.mp3,public\audio\JPN\3\vary.mp3,FALSE,1
307,release,release new products,The company plans to release new products soon.,解放する,新製品を発売する,その会社は近々新製品を発売する予定だ。,動詞,re- (再び) + lease- (解放する),「再び解放する」→解放する,leasing,賃貸,/rɪˈlis/,public\images\release.webp,拘束から自由にするか、公開すること。,public\audio\ENG\1\release.mp3,public\audio\ENG\2\release.mp3,public\audio\ENG\3\release.mp3,public\audio\JPN\1\release.mp3,public\audio\JPN\2\release.mp3,public\audio\JPN\3\release.mp3,FALSE,1
308,divide,divide the tasks,Managers divide the tasks among team members.,分割する,仕事を分担する,マネージャーたちは仕事をチームメンバーに分ける。,動詞,di- (二つに) + vide- (分ける),「二つに分ける」→分割する,division,分割,/dɪˈvaɪd/,public\images\divide.webp,二つ以上の部分に分けること。,public\audio\ENG\1\divide.mp3,public\audio\ENG\2\divide.mp3,public\audio\ENG\3\divide.mp3,public\audio\JPN\1\divide.mp3,public\audio\JPN\2\divide.mp3,public\audio\JPN\3\divide.mp3,FALSE,1
309,enable,enable new features,New updates enable exciting features.,可能にする,新機能を可能にする,新しいアップデートでエキサイティングな機能が可能になる。,動詞,en- (中へ) + able- (できる),「中でできる」→可能にする,ability,能力,/ɪˈneɪbl/,public\images\enable.webp,何かを行う能力や機会を与えること。,public\audio\ENG\1\enable.mp3,public\audio\ENG\2\enable.mp3,public\audio\ENG\3\enable.mp3,public\audio\JPN\1\enable.mp3,public\audio\JPN\2\enable.mp3,public\audio\JPN\3\enable.mp3,FALSE,1
310,judge,judge a competition,She will judge the cooking competition.,判断する,競技を審査する,彼女が料理コンペを審査する。,動詞,judg- (判断する) + -e (動詞化),「判断すること」→判断する,judgment,判断,/ʤʌdʒ/,public\images\judge.webp,意見や評価を形成する行為。,public\audio\ENG\1\judge.mp3,public\audio\ENG\2\judge.mp3,public\audio\ENG\3\judge.mp3,public\audio\JPN\1\judge.mp3,public\audio\JPN\2\judge.mp3,public\audio\JPN\3\judge.mp3,FALSE,1
311,rely,rely on technology,Many businesses rely heavily on technology.,頼る,テクノロジーに頼る,多くのビジネスはテクノロジーに大きく依存している。,動詞,re- (再び) + ly- (頼る),「再び頼る」→頼る,reliance,依存,/rɪˈlaɪ/,public\images\rely.webp,支援や助けを他者に期待すること。,public\audio\ENG\1\rely.mp3,public\audio\ENG\2\rely.mp3,public\audio\ENG\3\rely.mp3,public\audio\JPN\1\rely.mp3,public\audio\JPN\2\rely.mp3,public\audio\JPN\3\rely.mp3,FALSE,1
312,engage,engage in conversation,They engaged in a meaningful conversation.,従事する,会話に参加する,彼らは意義のある会話を行った。,動詞,en- (中へ) + gage- (約束する),「中に約束する」→従事する,engagement,従事,/ɪnˈɡeɪdʒ/,public\images\engage.webp,活動や話題に積極的に参加すること。,public\audio\ENG\1\engage.mp3,public\audio\ENG\2\engage.mp3,public\audio\ENG\3\engage.mp3,public\audio\JPN\1\JPNage.mp3,public\audio\JPN\2\JPNage.mp3,public\audio\JPN\3\JPNage.mp3,FALSE,1
313,shift,shift perspectives,Societal values shift over generations.,移動する,視点を変える,社会の価値観は世代を超えて変化する。,動詞,shift (移動する),「移動する」→移動する,shifter,移動装置,/ʃɪft/,public\images\shift.webp,位置、方向、または焦点の変更。,public\audio\ENG\1\shift.mp3,public\audio\ENG\2\shift.mp3,public\audio\ENG\3\shift.mp3,public\audio\JPN\1\shift.mp3,public\audio\JPN\2\shift.mp3,public\audio\JPN\3\shift.mp3,FALSE,1
314,adopt,adopt a strategy,The company adopted a new marketing strategy.,採用する,戦略を採用する,その会社は新しいマーケティング戦略を採用した。,動詞,ad- (向かって) + opt- (選ぶ),「向かって選ぶ」→採用する,adoption,採用,/əˈdɑpt/,public\images\adopt.webp,新しい方法やアイデアを取り入れること。,public\audio\ENG\1\adopt.mp3,public\audio\ENG\2\adopt.mp3,public\audio\ENG\3\adopt.mp3,public\audio\JPN\1\adopt.mp3,public\audio\JPN\2\adopt.mp3,public\audio\JPN\3\adopt.mp3,FALSE,1
315,acquire,acquire skills,Students acquire valuable skills during the course.,獲得する,スキルを習得する,学生はコース中に貴重なスキルを身につける。,動詞,ac- (近づく) + quir- (求める),「近づいて求める」→獲得する,acquisition,獲得,/əˈkwaɪr/,public\images\acquire.webp,努力やプロセスを経て何かを手に入れること。,public\audio\ENG\1\acquire.mp3,public\audio\ENG\2\acquire.mp3,public\audio\ENG\3\acquire.mp3,public\audio\JPN\1\acquire.mp3,public\audio\JPN\2\acquire.mp3,public\audio\JPN\3\acquire.mp3,FALSE,1
316,expand,expand public transportation,The city plans to expand public transportation.,拡大する,公共交通機関を拡大する,その都市は公共交通機関を拡張する予定だ。,動詞,ex- (外に) + pand- (広げる),「外に広げる」→拡大する,expansion,拡張,/ɪkˈspænd/,public\images\expand.webp,より大きくまたは広範囲になること。,public\audio\ENG\1\expand.mp3,public\audio\ENG\2\expand.mp3,public\audio\ENG\3\expand.mp3,public\audio\JPN\1\expand.mp3,public\audio\JPN\2\expand.mp3,public\audio\JPN\3\expand.mp3,FALSE,1
317,refuse,refuse the invitation,She had to refuse the invitation,拒否する,招待を断る,彼女は招待を断らなければならなかった。,動詞,re- (再び) + fuse- (溶かす),「再び溶かす」→拒否する,refusal,拒否,/rɪˈfjuz/,public\images\refuse.webp,受け入れないことを明確にする行為。,public\audio\ENG\1\refuse.mp3,public\audio\ENG\2\refuse.mp3,public\audio\ENG\3\refuse.mp3,public\audio\JPN\1\refuse.mp3,public\audio\JPN\2\refuse.mp3,public\audio\JPN\3\refuse.mp3,FALSE,1
318,strike,strike me as surprising,The news struck me as surprising.,打つ、ストライキ,驚きを与える,そのニュースは私を驚かせた。,名詞,strik- (打つ) + -e (動詞化),「打つ」→打つ、ストライキ,striking,打撃,/straɪk/,public\images\strike.webp,急に攻撃するか、仕事を停止すること。,public\audio\ENG\1\strike.mp3,public\audio\ENG\2\strike.mp3,public\audio\ENG\3\strike.mp3,public\audio\JPN\1\strike.mp3,public\audio\JPN\2\strike.mp3,public\audio\JPN\3\strike.mp3,FALSE,1
319,repeat,repeat a process,It's important to repeat the verification process.,繰り返す,プロセスを繰り返す,検証プロセスを繰り返すことは重要だ。,動詞,re- (再び) + peat- (繰り返す),「再び繰り返す」→繰り返す,repetition,繰り返し,/rɪˈpit/,public\images\repeat.webp,同じ行動や言葉をもう一度行うこと。,public\audio\ENG\1\repeat.mp3,public\audio\ENG\2\repeat.mp3,public\audio\ENG\3\repeat.mp3,public\audio\JPN\1\repeat.mp3,public\audio\JPN\2\repeat.mp3,public\audio\JPN\3\repeat.mp3,FALSE,1
320,consume,consume energy,Modern societies consume vast amounts of energy.,消費する,エネルギーを消費する,現代社会は膨大なエネルギーを消費する。,動詞,con- (共に) + sum- (取る),「共に取る」→消費する,consumer,消費者,/kənˈsjuːm/,public\images\consume.webp,食べる、使う、または時間を費やすことによって使い果たすこと。,public\audio\ENG\1\consume.mp3,public\audio\ENG\2\consume.mp3,public\audio\ENG\3\consume.mp3,public\audio\JPN\1\consume.mp3,public\audio\JPN\2\consume.mp3,public\audio\JPN\3\consume.mp3,FALSE,1
321,confuse,confuse a competition,Strategic moves confuse the competition.,混乱させる,競争相手を混乱させる,戦略的な動きが競争相手を混乱させる。,動詞,con- (共に) + fus- (流す),「共に流す」→混乱させる,confusion,混乱,/kənˈfjuz/,public\images\confuse.webp,明確でなくすることによって理解を難しくする。,public\audio\ENG\1\confuse.mp3,public\audio\ENG\2\confuse.mp3,public\audio\ENG\3\confuse.mp3,public\audio\JPN\1\confuse.mp3,public\audio\JPN\2\confuse.mp3,public\audio\JPN\3\confuse.mp3,FALSE,1
322,select,select the best option,"After careful consideration, they selected the best option.",選ぶ,最良の選択肢を選ぶ,注意深い検討の結果、彼らは最良の選択肢を選んだ。,動詞,se- (離れて) + lect- (選ぶ),「離れて選ぶ」→選ぶ,selection,選択,/sɪˈlɛkt/,public\images\select.webp,複数の選択肢から特定のものを選び出すこと。,public\audio\ENG\1\select.mp3,public\audio\ENG\2\select.mp3,public\audio\ENG\3\select.mp3,public\audio\JPN\1\select.mp3,public\audio\JPN\2\select.mp3,public\audio\JPN\3\select.mp3,FALSE,1
323,evolve,evolve over time,Species evolve to adapt to their environment.,進化する,適応するために進化する,種は環境に適応するために進化する。,動詞,e- (外に) + volve- (巻く),「外に巻く」→進化する,evolution,進化,/ɪˈvɑlv/,public\images\evolve.webp,徐々に発展または変化する過程。,public\audio\ENG\1\evolve.mp3,public\audio\ENG\2\evolve.mp3,public\audio\ENG\3\evolve.mp3,public\audio\JPN\1\evolve.mp3,public\audio\JPN\2\evolve.mp3,public\audio\JPN\3\evolve.mp3,FALSE,1
324,convince,convince the audience,The speaker convinced the audience with compelling arguments.,確信させる,聴衆を納得させる,スピーカーは説得力のある議論で聴衆を納得させた。,動詞,con- (共に) + vinc- (勝つ),「共に勝つ」→確信させる,conviction,確信,/kənˈvɪns/,public\images\convince.webp,確かな理由や証拠を通じて他人の考えを変えること。,public\audio\ENG\1\convince.mp3,public\audio\ENG\2\convince.mp3,public\audio\ENG\3\convince.mp3,public\audio\JPN\1\convince.mp3,public\audio\JPN\2\convince.mp3,public\audio\JPN\3\convince.mp3,FALSE,1
325,recall,recall memories,Old photographs help us recall precious memories.,思い出す,思い出を呼び起こす,古い写真は大切な思い出を思い出させてくれる。,動詞,re- (再び) + call- (呼ぶ),「再び呼ぶ」→思い出す,recollection,記憶,/rɪˈkɔl/,public\images\recall.webp,過去の出来事や情報を記憶から取り出すこと。,public\audio\ENG\1\recall.mp3,public\audio\ENG\2\recall.mp3,public\audio\ENG\3\recall.mp3,public\audio\JPN\1\recall.mp3,public\audio\JPN\2\recall.mp3,public\audio\JPN\3\recall.mp3,FALSE,1
326,destroy,destroy evidence,The order was given to destroy all evidence.,破壊する,証拠を破壊する,全ての証拠を破壊するよう命じられた。,動詞,de- (下に) + stroy- (壊す),「下に壊す」→破壊する,destruction,破壊,/dɪˈstrɔɪ/,public\images\destroy.webp,完全に壊すか機能を停止させること。,public\audio\ENG\1\destroy.mp3,public\audio\ENG\2\destroy.mp3,public\audio\ENG\3\destroy.mp3,public\audio\JPN\1\destroy.mp3,public\audio\JPN\2\destroy.mp3,public\audio\JPN\3\destroy.mp3,FALSE,1
327,preserve,preserve the environment,We must preserve the natural environment.,保存する,環境を保護する,自然環境を保護しなければならない。,動詞,pre- (前に) + serve- (保つ),「前に保つ」→保存する,preservation,保存,/prɪˈzɜrv/,public\images\preserve.webp,何かを保護して維持すること。,public\audio\ENG\1\preserve.mp3,public\audio\ENG\2\preserve.mp3,public\audio\ENG\3\preserve.mp3,public\audio\JPN\1\preserve.mp3,public\audio\JPN\2\preserve.mp3,public\audio\JPN\3\preserve.mp3,FALSE,1
328,organize,organize a meeting,We need to organize a team meeting soon.,組織する,会議を組織する,近々チームミーティングを開催する必要があります。,動詞,or- (整える) + gan- (作る),「整えて作る」→組織する,organization,組織,/ˈɔrɡənaɪz/,public\images\organize.webp,システマティックに物事を整えるか計画すること。,public\audio\ENG\1\organize.mp3,public\audio\ENG\2\organize.mp3,public\audio\ENG\3\organize.mp3,public\audio\JPN\1\organize.mp3,public\audio\JPN\2\organize.mp3,public\audio\JPN\3\organize.mp3,FALSE,1
329,warn,warn about dangers,Experts warn about the dangers of climate change.,警告する,危険を警告する,専門家は気候変動の危険性について警告しています。,動詞,warn (警告する),「警告する」→警告する,warning,警告,/wɔrn/,public\images\warn.webp,危険や問題について予め知らせること。,public\audio\ENG\1\warn.mp3,public\audio\ENG\2\warn.mp3,public\audio\ENG\3\warn.mp3,public\audio\JPN\1\warn.mp3,public\audio\JPN\2\warn.mp3,public\audio\JPN\3\warn.mp3,FALSE,1
330,address,address concerns,The company addressed customer concerns promptly.,対処する,懸念事項に対処する,会社は顧客の懸念事項に迅速に対処しました。,動詞,ad- (向かって) + dress- (装う),「向かって装う」→対処する,addressed,対処された,/əˈdrɛs/,public\images\address.webp,問題や状況に注意を払って取り組むこと。,public\audio\ENG\1\address.mp3,public\audio\ENG\2\address.mp3,public\audio\ENG\3\address.mp3,public\audio\JPN\1\address.mp3,public\audio\JPN\2\address.mp3,public\audio\JPN\3\address.mp3,FALSE,1
331,operate,operate machinery,Technicians operate sophisticated machinery in the factory.,操作する,機械を操作する,技術者たちは工場で高度な機械を操作しています。,動詞,op- (働く) + erate- (動詞化),「働くこと」→操作する,operation,操作,/ˈɑpəˌreɪt/,public\images\operate.webp,機械やシステムを管理または制御すること。,public\audio\ENG\1\operate.mp3,public\audio\ENG\2\operate.mp3,public\audio\ENG\3\operate.mp3,public\audio\JPN\1\operate.mp3,public\audio\JPN\2\operate.mp3,public\audio\JPN\3\operate.mp3,FALSE,1
332,participate,participate in a meeting,Employees participate in regular meetings.,参加する,会議に参加する,従業員は定期的な会議に参加します。,動詞,par- (一緒に) + ticip- (取る),「一緒に取る」→参加する,participant,参加者,/pɑrˈtɪsəˌpeɪt/,public\images\participate.webp,活動やイベントに積極的に関わること。,public\audio\ENG\1\participate.mp3,public\audio\ENG\2\participate.mp3,public\audio\ENG\3\participate.mp3,public\audio\JPN\1\participate.mp3,public\audio\JPN\2\participate.mp3,public\audio\JPN\3\participate.mp3,FALSE,1
333,surround,surround the area,Tall trees surround the secluded cabin.,囲む,地域を囲む,高い木々が隠れ家を囲んでいます。,動詞,sur- (上に) + round- (回る),「上で回る」→囲む,surrounding,周囲の,/səˈraʊnd/,public\images\surround.webp,すべての側から何かを取り囲むこと。,public\audio\ENG\1\surround.mp3,public\audio\ENG\2\surround.mp3,public\audio\ENG\3\surround.mp3,public\audio\JPN\1\surround.mp3,public\audio\JPN\2\surround.mp3,public\audio\JPN\3\surround.mp3,FALSE,1
334,flow,let ideas flow,"In brainstorming sessions, let ideas flow freely.",流れる,アイデアを流れに任せる,ブレインストーミングのセッションでは、アイデアを自由に出してください。,動詞,flow (流れる),「流れる」→流れる,flowing,流動的な,/floʊ/,public\images\flow.webp,液体やガスが滑らかに移動すること。,public\audio\ENG\1\flow.mp3,public\audio\ENG\2\flow.mp3,public\audio\ENG\3\flow.mp3,public\audio\JPN\1\flow.mp3,public\audio\JPN\2\flow.mp3,public\audio\JPN\3\flow.mp3,FALSE,1
335,bore,bore the audience,It's challenging not to bore the audience during long presentations.,退屈させる,聴衆を退屈させる,長いプレゼンテーション中に聴衆を飽きさせないのは難しいです。,動詞,bore (退屈させる),「退屈させる」→退屈させる,boring,退屈な,/bɔr/,public\images\bore.webp,興味を引かないことによって他人を退屈させること。,public\audio\ENG\1\bore.mp3,public\audio\ENG\2\bore.mp3,public\audio\ENG\3\bore.mp3,public\audio\JPN\1\bore.mp3,public\audio\JPN\2\bore.mp3,public\audio\JPN\3\bore.mp3,FALSE,1
336,complain,complain about service,Customers often complain about poor service.,不平を言う,サービスを文句を言う,顧客はよくサービスの質について不満を述べます。,動詞,com- (共に) + plain- (明らか),「共に明らかにする」→不平を言う,complaint,苦情,/kəmˈpleɪn/,public\images\complain.webp,不満や不快感を表明すること。,public\audio\ENG\1\complain.mp3,public\audio\ENG\2\complain.mp3,public\audio\ENG\3\complain.mp3,public\audio\JPN\1\complain.mp3,public\audio\JPN\2\complain.mp3,public\audio\JPN\3\complain.mp3,FALSE,1
337,host,host a party,They decided to host a celebration party.,主催する,パーティーを開く,彼らはお祝いパーティーを開催することに決めました。,動詞,host (主催する),「主催する」→主催する,hosting,ホスティング,/hoʊst/,public\images\host.webp,イベントや会合を組織し、ゲストを迎える人。,public\audio\ENG\1\host.mp3,public\audio\ENG\2\host.mp3,public\audio\ENG\3\host.mp3,public\audio\JPN\1\host.mp3,public\audio\JPN\2\host.mp3,public\audio\JPN\3\host.mp3,FALSE,1
338,combine,combine ingredients,Chefs combine various ingredients to create new dishes.,結合する,材料を組み合わせる,シェフたちはさまざまな食材を組み合わせて新しい料理を作ります。,動詞,com- (共に) + bin- (結合する),「共に結合する」→結合する,combination,組み合わせ,/kəmˈbaɪn/,public\images\combine.webp,二つ以上の要素を一緒にすること。,public\audio\ENG\1\combine.mp3,public\audio\ENG\2\combine.mp3,public\audio\ENG\3\combine.mp3,public\audio\JPN\1\combine.mp3,public\audio\JPN\2\combine.mp3,public\audio\JPN\3\combine.mp3,FALSE,1
339,extend,extend a deadline,The company decided to extend the project deadline.,延長する,締切を延長する,会社はプロジェクトの締め切りを延長することに決めました。,動詞,ex- (外に) + tend- (伸ばす),「外に伸ばす」→延長する,extension,拡張,/ɪkˈstɛnd/,public\images\extend.webp,長さ、期間、範囲を増やすこと。,public\audio\ENG\1\extend.mp3,public\audio\ENG\2\extend.mp3,public\audio\ENG\3\extend.mp3,public\audio\JPN\1\extend.mp3,public\audio\JPN\2\extend.mp3,public\audio\JPN\3\extend.mp3,FALSE,1
340,appreciate,appreciate art,Art enthusiasts really appreciate the museum's collection.,評価する,芸術を鑑賞する,芸術愛好家はその美術館のコレクションを本当に高く評価しています。,動詞,ap- (向かって) + preci- (価値) + -ate (動詞化),「価値を向かって」→評価する,appreciation,評価,/əˈpriʃiˌeɪt/,public\images\appreciate.webp,価値を認識し、感謝すること。,public\audio\ENG\1\appreciate.mp3,public\audio\ENG\2\appreciate.mp3,public\audio\ENG\3\appreciate.mp3,public\audio\JPN\1\appreciate.mp3,public\audio\JPN\2\appreciate.mp3,public\audio\JPN\3\appreciate.mp3,FALSE,1
341,target,target the audience,The new product targets a younger audience.,目標,聴衆をターゲットにする,新製品は若い視聴者をターゲットにしています。,名詞,target (目標),「目標」→目標,targeting,ターゲティング,/ˈtɑrɡɪt/,public\images\target.webp,達成したい特定の結果やオブジェクト。,public\audio\ENG\1\target.mp3,public\audio\ENG\2\target.mp3,public\audio\ENG\3\target.mp3,public\audio\JPN\1\target.mp3,public\audio\JPN\2\target.mp3,public\audio\JPN\3\target.mp3,FALSE,1
342,element,discover an element,Scientists discovered a new chemical element.,要素,要素を発見する,科学者たちは新しい化学元素を発見しました。,名詞,ele- (選ぶ) + -ment (名詞化),「選ばれたもの」→要素,elementary,基本的な,/ˈɛləmənt/,public\images\element.webp,より大きな全体を形成する個々の部分。,public\audio\ENG\1\element.mp3,public\audio\ENG\2\element.mp3,public\audio\ENG\3\element.mp3,public\audio\JPN\1\element.mp3,public\audio\JPN\2\element.mp3,public\audio\JPN\3\element.mp3,FALSE,1
343,principle,strict principles,The organization operates on strict principles.,原理、原則,厳格な原則,その組織は厳格な原則に基づいて運営されています。,名詞,prin- (初め) + ciple- (取る),「初めに取る」→原理、原則,principal,校長,/ˈprɪnsəpl/,public\images\principle.webp,基本的な信念や行動のガイドライン。,public\audio\ENG\1\principle.mp3,public\audio\ENG\2\principle.mp3,public\audio\ENG\3\principle.mp3,public\audio\JPN\1\principle.mp3,public\audio\JPN\2\principle.mp3,public\audio\JPN\3\principle.mp3,FALSE,1
344,phenomenon,natural phenomenon,Researchers are fascinated by this natural phenomenon.,現象,自然現象,研究者たちはこの自然現象に魅了されています。,名詞,phenom- (出現) + enon- (名詞化),「出現するもの」→現象,phenomena,現象,/fɪˈnɑmɪnən/,public\images\phenomenon.webp,観察される事象や出来事。,public\audio\ENG\1\phenomenon.mp3,public\audio\ENG\2\phenomenon.mp3,public\audio\ENG\3\phenomenon.mp3,public\audio\JPN\1\phenomenon.mp3,public\audio\JPN\2\phenomenon.mp3,public\audio\JPN\3\phenomenon.mp3,FALSE,1
